education_level,skill_1,skill_2,skill_3,skill_4,experience,logical_quotient_rating,coding_skills_rating,self-learning_capability?,interested_technology,interested_career_area,type_of_company,management_or_technical,suggested_job_role
Bachelor,CSS,Python,JavaScript,Java,2,5,6,yes,programming,testing,BPA,Management,Applications Developer
Bachelor,JavaScript,Java,C++,Python,0,7,4,no,Management,system developer,Cloud Services,Technical,Applications Developer
Master,JavaScript,CSS,HTML,Java,4,2,9,no,data engineering,Business process analyst,product development,Technical,Applications Developer
Master,CSS,Java,Python,JavaScript,8,2,3,no,networks,testing,Testing and Maintainance Services,Management,Applications Developer
Bachelor,HTML,Python,JavaScript,CSS,1,2,3,yes,Software Engineering,system developer,BPA,Technical,Applications Developer
Master,CSS,Java,Python,HTML,5,7,5,yes,cloud computing,security,Cloud Services,Management,Applications Developer
Bachelor,Python,Java,C++,HTML,3,9,9,yes,cloud computing,testing,Cloud Services,Technical,Applications Developer
Bachelor,CSS,JavaScript,Java,C++,2,9,6,no,parallel computing,developer,BPA,Technical,Applications Developer
Master,Java,C++,CSS,HTML,0,1,1,yes,programming,Business process analyst,SAaS services,Technical,Applications Developer
Bachelor,JavaScript,Python,HTML,Java,4,6,4,no,networks,system developer,SAaS services,Management,Applications Developer
Bachelor,CSS,C++,Python,JavaScript,9,6,8,no,IOT,developer,Web Services,Management,Applications Developer
Bachelor,Java,Python,C++,HTML,3,9,3,yes,parallel computing,Business process analyst,Finance,Management,Applications Developer
Bachelor,Python,HTML,CSS,C++,7,4,6,no,networks,Business process analyst,Sales and Marketing,Management,Applications Developer
Bachelor,Java,CSS,Python,HTML,8,8,9,yes,Computer Architecture,security,Sales and Marketing,Management,Applications Developer
Bachelor,HTML,Java,C++,Python,2,1,3,no,Software Engineering,cloud computing,Product based,Management,Applications Developer
Bachelor,Java,Python,HTML,CSS,8,1,2,yes,Computer Architecture,system developer,Testing and Maintainance Services,Management,Applications Developer
Bachelor,JavaScript,C++,HTML,Python,10,2,5,yes,networks,developer,Cloud Services,Technical,Applications Developer
Master,Java,Python,HTML,C++,2,6,3,no,hacking,testing,Testing and Maintainance Services,Management,Applications Developer
Bachelor,Java,Python,HTML,JavaScript,2,2,8,no,data engineering,cloud computing,Product based,Technical,Applications Developer
Master,Python,C++,CSS,Java,9,3,1,yes,Computer Architecture,security,Cloud Services,Technical,Applications Developer
Master,Java,C++,JavaScript,CSS,5,2,2,yes,hacking,system developer,Sales and Marketing,Management,Applications Developer
Master,HTML,Java,Python,CSS,9,5,2,no,cloud computing,Business process analyst,SAaS services,Management,Applications Developer
Master,Python,CSS,Java,HTML,4,3,6,yes,cloud computing,testing,BPA,Management,Applications Developer
Bachelor,HTML,C++,CSS,Java,9,1,8,yes,networks,cloud computing,SAaS services,Management,Applications Developer
Bachelor,CSS,HTML,Java,Python,3,6,9,no,Management,Business process analyst,product development,Management,Applications Developer
Master,Java,CSS,HTML,Python,8,9,3,no,IOT,system developer,SAaS services,Technical,Applications Developer
Bachelor,JavaScript,CSS,HTML,C++,3,9,5,yes,parallel computing,Business process analyst,Sales and Marketing,Technical,Applications Developer
Bachelor,C++,HTML,CSS,Java,4,8,4,no,programming,security,Web Services,Management,Applications Developer
Bachelor,C++,HTML,CSS,Python,0,9,6,no,Management,system developer,BPA,Management,Applications Developer
Bachelor,CSS,HTML,C++,Java,10+,6,5,no,cloud computing,Business process analyst,Product based,Technical,Applications Developer
Master,C++,JavaScript,HTML,Java,6,2,4,yes,cloud computing,Business process analyst,Finance,Management,Applications Developer
Master,HTML,CSS,C++,Java,1,9,8,no,programming,developer,Finance,Technical,Applications Developer
Master,C++,Python,CSS,JavaScript,3,4,9,no,parallel computing,system developer,BPA,Technical,Applications Developer
Master,CSS,C++,JavaScript,Java,10+,5,7,no,cloud computing,security,Sales and Marketing,Technical,Applications Developer
Bachelor,CSS,Python,Java,HTML,9,9,9,yes,Computer Architecture,security,SAaS services,Management,Applications Developer
Bachelor,JavaScript,C++,HTML,CSS,7,1,5,yes,data engineering,Business process analyst,Web Services,Management,Applications Developer
Bachelor,HTML,CSS,JavaScript,C++,8,6,2,yes,hacking,Business process analyst,BPA,Management,Applications Developer
Bachelor,JavaScript,Python,HTML,CSS,10+,7,6,no,networks,security,product development,Management,Applications Developer
Master,Python,CSS,HTML,C++,5,5,5,yes,cloud computing,cloud computing,BPA,Technical,Applications Developer
Master,HTML,C++,CSS,JavaScript,10+,8,3,yes,cloud computing,testing,product development,Technical,Applications Developer
Master,CSS,HTML,C++,Python,10,2,9,no,hacking,cloud computing,Finance,Management,Applications Developer
Master,Java,HTML,Python,CSS,1,4,4,no,parallel computing,Business process analyst,Finance,Technical,Applications Developer
Master,Java,JavaScript,CSS,HTML,9,8,8,yes,data engineering,security,Cloud Services,Technical,Applications Developer
Bachelor,HTML,CSS,Python,C++,5,1,5,yes,Computer Architecture,testing,Finance,Technical,Applications Developer
Master,JavaScript,Python,Java,HTML,7,6,2,yes,Management,system developer,BPA,Management,Applications Developer
Bachelor,CSS,HTML,Java,JavaScript,2,7,2,yes,Management,security,SAaS services,Technical,Applications Developer
Bachelor,C++,JavaScript,Java,CSS,1,8,1,yes,networks,security,Sales and Marketing,Technical,Applications Developer
Master,C++,CSS,Python,JavaScript,8,7,2,yes,cloud computing,Business process analyst,Web Services,Management,Applications Developer
Master,Java,C++,JavaScript,Python,3,2,2,no,programming,security,BPA,Technical,Applications Developer
Master,C++,HTML,Java,JavaScript,1,6,8,yes,networks,cloud computing,Product based,Management,Applications Developer
Master,HTML,Java,CSS,Python,6,9,6,yes,data engineering,developer,Sales and Marketing,Technical,Applications Developer
Bachelor,CSS,HTML,C++,JavaScript,3,4,5,no,Computer Architecture,cloud computing,BPA,Management,Applications Developer
Bachelor,HTML,C++,Java,Python,9,4,9,yes,parallel computing,developer,Service Based,Management,Applications Developer
Bachelor,HTML,JavaScript,C++,CSS,8,1,1,no,hacking,Business process analyst,Finance,Management,Applications Developer
Master,Java,C++,HTML,JavaScript,2,2,8,no,hacking,testing,SAaS services,Technical,Applications Developer
Bachelor,HTML,JavaScript,CSS,C++,8,6,1,yes,programming,security,Web Services,Management,Applications Developer
Bachelor,CSS,C++,Python,Java,1,9,6,yes,data engineering,developer,Testing and Maintainance Services,Technical,Applications Developer
Master,Python,HTML,JavaScript,Java,0,9,5,yes,networks,Business process analyst,product development,Management,Applications Developer
Bachelor,CSS,JavaScript,Java,Python,10+,5,1,yes,parallel computing,system developer,Service Based,Technical,Applications Developer
Master,JavaScript,HTML,CSS,Java,7,5,7,yes,networks,system developer,Finance,Management,Applications Developer
Master,Python,C++,Java,JavaScript,7,3,7,no,data engineering,security,product development,Technical,Applications Developer
Master,Python,C++,HTML,Java,4,2,6,no,IOT,Business process analyst,Sales and Marketing,Technical,Applications Developer
Bachelor,HTML,CSS,Java,Python,8,3,1,no,parallel computing,developer,Product based,Management,Applications Developer
Bachelor,JavaScript,Java,C++,HTML,6,6,4,yes,IOT,developer,Finance,Technical,Applications Developer
Bachelor,Python,CSS,Java,C++,10,1,9,no,data engineering,system developer,Web Services,Technical,Applications Developer
Bachelor,JavaScript,Python,HTML,Java,4,7,9,no,hacking,Business process analyst,SAaS services,Technical,Applications Developer
Bachelor,C++,Java,JavaScript,HTML,9,4,4,no,cloud computing,cloud computing,Cloud Services,Management,Applications Developer
Master,Python,C++,CSS,Java,4,4,4,yes,Computer Architecture,cloud computing,Finance,Technical,Applications Developer
Master,HTML,JavaScript,Python,CSS,8,9,6,no,programming,security,Cloud Services,Management,Applications Developer
Bachelor,Java,CSS,JavaScript,Python,2,8,1,no,programming,testing,Testing and Maintainance Services,Technical,Applications Developer
Master,JavaScript,Java,C++,HTML,7,1,4,no,cloud computing,testing,Service Based,Management,Applications Developer
